Date,Average weight (kg),Max weight (kg),Min weight (kg),Calories (kcal),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Step count,Distance (m),Average speed (m/s),Max speed (m/s),Min speed (m/s),Move Minutes count,Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms)
2019-08-30,,,,1699.3645183565648,,,,,,,1727,429.06567192077637,1.1531654757152596,15.149999618530273,0.32314711809158325,19,,77271004,1076610,
2019-08-31,,,,1769.297105098379,,,,,,,3173,1276.480297923088,0.8048292410910645,1.399999976158142,0.3395303189754486,37,,76858089,1537454,307046
2019-09-01,,,,1736.860563197032,1.0,1,-8.6601217,115.1290288,-8.6582373,115.1306422,2229,774.6576230227947,1.667848674588608,14.460000038146973,0.04802022874355316,25,,81337224,1698964,
2019-09-02,,,,1692.1639791601606,,,,,,,864,191.8419367671013,1.2886316651067669,16.239999771118164,0.0303718950599432,6,,76353999,957098,
2019-09-03,,,,1793.1946453437092,,,-8.662246,115.1280917,-8.6576002,115.1335648,3983,2023.2816858887672,1.9858303566830755,14.210000038146973,0.33367812633514404,45,,73680602,2633989,
2019-09-04,,,,1810.0639059159091,1.0,1,-8.660478,115.1261956,-8.6561593,115.1311533,3801,1822.1943137645721,1.5870925528653366,17.549999237060547,0.04101043567061424,44,,45435156,2636900,121558
2019-09-05,,,,1795.4085722801392,1.0,1,-8.6617729,115.1286093,-8.658243,115.1334075,3298,1766.922790646553,2.7750877487274614,17.049999237060547,0.031382493674755096,36,,76164860,2670735,
2019-09-06,,,,1699.5450237617947,,,,,,,2212,571.1038305163383,0.7185278407144854,5.690000057220459,0.019719434902071953,28,,80478730,1079604,
2019-09-07,,,,1757.3972367128001,,,-8.6617555,115.1282972,-8.6577977,115.1331467,2817,1248.096389785409,0.7933790024464367,8.930000305175781,0.13802194595336914,35,,46047170,2039827,
2019-09-08,,,,2261.426719308897,11.0,11,-8.5164535,115.2644309,-8.4147073,115.3162812,13352,7789.85208876431,2.439805888531099,18.40999984741211,0.00884723849594593,195,446208,57522658,9916038,
2019-09-09,,,,1749.9825471504143,1.0,1,-8.6622149,115.1319734,-8.6611594,115.1334304,3286,1522.414279744029,0.9653304530608828,13.390000343322754,0.25134071707725525,39,,78993970,1881611,
2019-09-10,,,,1768.8628598127598,2.0,2,-8.66516,115.1329451,-8.6615589,115.1373356,3071,1957.4472616910934,1.0002654685333012,8.880000114440918,0.25212812423706055,35,,82084229,2015225,
2019-09-11,,,,1759.487049344068,3.0,3,-8.6624458,115.1295929,-8.6588576,115.1336251,3063,1765.2833942174911,1.0495018248930492,11.0600004196167,0.2895706295967102,34,121175,81418928,1944959,
2019-09-12,,,,1666.019697369603,,,,,,,1257,282.4544851779938,1.750050783722991,12.229999542236328,0.2636426091194153,12,,78736570,523160,
2019-09-13,,,,1773.537593805539,2.0,2,-8.6552585,115.1239312,-8.6542644,115.1250943,3306,1558.9476835727692,1.5669265646236328,11.460000038146973,0.2909107804298401,36,,78353750,2307724,
2019-09-14,,,,1771.4579181323336,8.0,8,-8.6556959,115.1226487,-8.6528964,115.1263931,2584,1455.2771593034267,1.5795987564682936,15.84000015258789,0.2833947539329529,35,436001,81518412,1807051,
2019-09-15,,,,1793.1126296883695,7.0,7,-8.7448553,115.1642744,-8.7429915,115.1666483,3843,1946.088554263115,0.8998798186153749,18.0,0.10416907072067261,46,,61492444,2603364,
2019-09-16,,,,1988.7401739736981,23.0,23,48.8531011,2.2580972,49.0156379,2.5431977,7115,4608.894443392754,1.1081554154307118,6.0,0.27346864342689514,91,,72543276,5878226,
2019-09-17,,,,2098.2229289666952,43.0,43,48.834625,2.2562891,48.884897,2.3754994,12068,7145.835735797882,1.0015896384818042,5.170826435089111,0.27806511521339417,144,,68540519,7696796,
2019-09-18,,,,1681.6836541058985,1.0,1,,,,,853,297.312010884285,1.2537029830966002,28.110000610351562,0.30688342452049255,8,,81832201,783148,
2019-09-19,,,,1904.1719786758822,43.0,43,45.5959142,5.2042756,45.6012729,5.2290531,1972,2747.2263383865356,0.7536747972482553,7.360000133514404,0.09000128507614136,66,2655716,80268196,1636591,
2019-09-20,,,,1660.3756755239192,,,,,,,921,156.54747408714408,0.8355665073942701,3.7707159519195557,0.26441580057144165,10,,84497790,429481,
2019-09-21,,,,2092.0909938408017,83.0,83,46.103288,6.7444394,46.1076026,6.7551299,3305,2087.864724694823,2.504508579502633,37.36054611206055,0.02558152750134468,116,4687036,65383825,2583836,
2019-09-22,,,,1761.7856743822342,32.0,32,46.1034895,6.7546201,46.1041683,6.7551714,3102,280.17527186870575,0.4287303654142379,1.3703901767730713,0.032718561589717865,58,1469483,79094488,541558,
2019-09-23,,,,1760.944681076457,27.0,27,45.5967882,5.1998252,45.607814,5.2285339,1006,5617.447932720184,0.8179323400537808,22.345096588134766,0.3126085698604584,31,1694892,74253105,286601,
2019-09-24,,,,1723.0400998561963,18.0,18,45.5754628,5.2240393,45.5778567,5.2278393,2417,1700.5311646461487,1.0720333755342482,13.698023796081543,0.3231472671031952,25,,83684639,1467680,
2019-09-25,,,,1635.3688511202643,,,,,,,162,,0.7194085187479513,3.4781575202941895,0.6035895347595215,1,,85504814,14422,
2019-09-26,,,,1772.39622814417,34.0,34,45.5965038,5.2046502,45.6066637,5.228666,242,4947.470854997635,1.5333497703829881,6.900000095367432,0.14009876549243927,36,2112506,83784861,30177,
2019-09-27,,,,1818.7999453199252,33.0,33,45.7921313,5.2996926,45.7941913,5.3013388,2085,1180.2856740951538,1.4687265911941698,11.6728515625,0.39435476064682007,46,1634497,74732488,1013223,130833
2019-09-28,,,,1657.9230916278339,,,,,,,442,66.7356367111206,6.152989291189006,22.35767936706543,0.3109837770462036,1,,83419634,388773,
2019-09-29,,,,1749.505762506973,9.0,9,45.5964868,5.2284089,45.5970751,5.2309447,4327,1528.9292788505554,4.97354873867482,37.31999969482422,0.3437366485595703,57,,69750709,1696984,92945
2019-09-30,,,,1706.0505967542588,6.0,6,45.7904968,5.2994504,45.7944446,5.3012015,2374,912.5496377944946,3.251415389745217,52.882728576660156,0.33367815613746643,25,,68611579,1180730,
