"No value = similar as previous day for: Driving, Store and Stand/mov-ing around",,,,,,,,,,,
year,month,day,time reading paper,time on ubuntu,Driving,Store,Riding Car Eyes,Comment,scooter driving,scooter driving 2,scooter riding
,,9,,,,,,,20,,
,,10,,,,,,,22,,
,,11,,,,,,,8,,
,,12,,,,,,,10,,
,,13,,,,,,,5,,
,,14,,,,,,,8,,
,,15,,,,,,,8,,
,,16,,,,,,,10,,
,,17,,,,,,,8,,
,,18,,,,,,,8,,
,,19,,,,,15,,7,,25
,,20,,,,,,,8,,
,,21,,,,,,,8,,
,,22,,,,,,,8,,
,,23,,,,,,,10,,
,,24,,,,,,,8,,
,,25,,,,,,,8,,
,,26,,,,,,,12,,
,,27,,,,,,,8,,
,,28,,,,,,,8,,
,,29,,,,,,,8,,
,,30,,,,,,,9,,
,5,1,,,,,,,10,,
,,2,,,,,,,10,,
,,3,,,,,,,10,,
,,4,,,,,,,10,,
,,5,,,,,,,8,,
,,6,,,,,,,8,,
,,7,,,,,,,8,,
,,8,,,,,,,8,,
,,9,,,,,,,15,,
,,10,,,,,,,10,,120
,,11,,,,,,,0,,120
,,12,,,,,,,15,,80
,,13,,,,,,,10,,
,,14,,,,,,,5,,
,,15,,,,,,,15,,
,,16,,,,,,,9,,
,,17,,,,,,,15,,
,,18,,,,,,,12,,
,,19,,,,,,,15,,
,,20,,,,,,,10,,
,,21,,,,,,,5,,
,,22,,,,,,,15,,
,,23,,,,,,,7,,
,,24,,,,,,,15,,
,,25,,,,,,,20,,
,,26,,,,,,,30,,
,,27,,,100,,50,,,,
,,28,,,60,,,,10,,
,,29,,,,,,,100,,
,,30,,,,,,,29,,
,,31,,,,,,,30,,
,6,1,,,,,,,28,,
,,2,,,,,,,34,,
,,3,,,,,,,0,,
,,4,,,,,,,0,,
,,5,,,,,,,16,,
,,6,,,,,,,15,,
,,7,,,,,,,17,,
,,8,,,,,,,50,,
,,9,,,,,,,17,,
,,10,,,,,,,20,,10
,,11,,,,,,,25,,55
,,12,,,,,,,50,,50
,,13,,,,,,,15,,40
,,14,,,,,,,30,,180
,,15,,,,,,,8,,
,,16,,,,,,,10,,
,,17,,,,,,,19,,35
,,18,,,,,150,,10,,
,,19,,,,,,,45,,
,,20,,,,,,,14,,
,,21,,,,,,,40,,
,,22,,,,,,,24,,
,,23,,,,,25,,45,,
,,24,,,10,,25,,,,
,,25,,,10,,,,,,
,,26,,,40,,,,,,
,,27,,,,,,,,,
,,28,,,15,,,,,,
,,29,,,20,,,,,,
,,30,,,10,,,,,,
,7,1,,,25,,,,,,
,,2,,,25,,,,,,
,,3,,,12,,,,,,
,,4,,,10,,,,,,
,,5,,,70,,,,,,
,,6,,,12,,,,,,
,,7,,,12,,,,,,
,,8,,,25,,,,,,
,,9,,,100,,,,,,
,,10,,,100,,10,,,,
,,11,,,10,,,,,,
,,12,,,10,,,,,,
,,13,,,18,,,,,,
,,14,,,20,,,,,,
,,15,,,14,,,,,,
,,16,,,15,,,,,,
,,17,,,10,,,,,,
,,18,,,14,,,,,,
,,19,,,0,,,,,,
,,20,,,12,,,,,,
,,21,,,10,,120,,,,
,,22,,,,,10,,,,
,,23,,,10,,40,,,,
,,24,,,10,,,,,,
,,25,,,20,,,,,,
,,26,,,25,,,,,,
,,27,,,15,,,,,,
,,28,,,24,,,,,,
,,29,,,24,,,,,,
,,30,,,12,,,,,,
,,31,,,12,,,,,,
,8,1,,,12,,,,,,
,,2,,,12,,,,,,
,,3,,,12,,,,,,
,,4,,,20,,,,,,
,,5,,,12,,,,,,
,,6,,,20,,,,,,
,,7,,,12,,,,,,
,,8,,,0,,,,,,
,,9,,,22,,240,,,,
,,10,,,22,,40,,,,
,,11,,,,,24,,,,
,,12,,,18,,60,,,,
,,13,,,20,,250,,,,
,,14,,,22,,,,,,
,,15,,,12,,,,,,
,,16,,,20,,,,,,
,,17,,,28,,,,,,
,,18,,,15,,,,,,
,,19,,,17,,,,,,
,,20,,,22,,,,,,
,,21,,,22,,,,,,
,,22,,,25,,,,,,
,,23,,,14,,,,,,
,,24,,,25,,,,,,
,,25,,,12,,,,,,
,,26,,,20,,,,,,
,,27,,,10,,,,,,
,,28,,,20,,,,,,
,,29,,,20,,,,,,
,,30,,,20,,,,,,
,,31,,,40,,,,,,
,9,1,,,22,,,,,,
,,2,,,75,,,,,,
,,3,,,10,,,,,,
,,4,,,90,,20,,,,
,,5,,,90,,80,,,,
,,6,,,23,,,,,,
,,7,,,10,,,,,,
,,8,,,20,,,,,,
,,9,,,20,,,,,,
,,10,,,20,,,,,,
,,11,,,22,,,,,,
,,12,,,12,,,,,,
,,13,,,12,,,,,,
,,14,,,22,,,,,,
,,15,,,22,,,,,,
,,16,,,12,,,,,,
,,17,,,80,,,,,,
,,18,,,140,,,,,,
,,19,,,12,,,,,,
,,20,,,14,,,,,,
,,21,,,12,,,,,,
,,22,,,12,,,,,,
,,23,,,24,,,,,,
,,24,,,12,,,,,,
,,25,,,,,120,,,,
,,26,,,,,90,,,,
,,27,,,,,,,,,
,,28,,,12,,,,,,
,,29,,,12,,,,,,
,,30,,,28,,,,,,
,10,1,,,25,,,,,,
,,2,,,10,,,,,,
,,3,,,10,,,,,,
,,4,,,10,,,,,,
,,5,,,24,,,,,,
,,6,,,20,,,,,,
,,7,,,10,,10,,,,
,,8,,,12,,,,,,
,,9,,,12,,,,,,
,,10,,,24,,,,,,
,,11,,,12,,,,,,
,,12,,,24,,,,,,
,,13,,,12,,,,,,
,,14,,,24,,,,,,
,,15,,,75,,,,,,
,,16,,,25,,,,,,
,,17,,,12,,,,,,
,,18,,,5,,,,,,
,,19,,,0,,,,,,
,,20,,,12,,,,,,
,,21,,,12,,,,,,
,,22,,,12,,,,,,
,,23,,,12,,,,,,
,,24,,,12,,,,,,
,,25,,,12,,,,,,
,,26,,,0,,,,,,
,,27,,,12,,,,,,
,,28,,,0,,,,,,
,,29,,,12,,,,,,
,,30,,,0,,,,,,
,,31,,,12,,,,,,
,11,1,,,12,,,,,,
,,2,,,12,,,,,,
,,3,,,12,,,,,,
,,4,,,12,,,,,,
,,5,,,25,,,,,,
,,6,,,25,,,,,,
,,7,,,12,,,,,,
,,8,,,12,,,,,,
,,9,,,12,,,,,,
,,10,,,12,,,,,,
,,11,,,0,,,,,,
,,12,,,45,,,,,,
,,13,,,120,,,,,,
,,14,,,80,,10,,,,
,,15,,,,,10,,,,
,,16,,,,,25,,,,
,,17,,,,,30,,,,
,,18,,,,,30,,,,
,,19,,,,,20,,,,
,,20,,,,,,,,,
,,21,,,60,,,,,,
,,22,,,20,,,,,,
,,23,,,20,,,,,,
,,24,,,20,,,,,,
,,25,,,20,,,,,,
,,26,,,20,,,,,,
,,27,,,20,,,,,,
,,28,,,40,,,,,,
,,29,,,15,,,,,,
,,30,,,20,,,,,,
,12,1,,,20,,,,,,
,,2,,,20,,,,,,
,,3,,,20,,,,,,
,,4,,,20,,,,,,
,,5,,,20,,,,,,
,,6,,,20,,,,,,
,,7,,,230,,,,,,
,,8,,,45,,,,,,
,,9,,,90,,,,,,
,,10,,,10,,,,,,
,,11,,,85,,,,,,
,,12,,,90,,,,,,
,,13,,,15,,,,,,
,,14,,,15,,,,,,
,,15,,,80,,,,,,
,,16,,,20,,,,,,
,,17,,,150,,,,,,
,,18,,,45,,,,,,
,,19,,,150,,,,,,
,,20,,,35,,,,,,
,,21,,,10,,,,,,
,,22,,,10,,,,,,
,,23,,,10,,,,,,
,,24,,,10,,,,,,
,,25,,,,,130,,,,
,,26,,,,,25,,,,
,,27,,,,,,,,,
,,28,,,,,,,,,
,,29,,,,,100,,,,
,,30,,,10,,,,,,
,,31,,,30,,,,,,
2022,1,1,,,15,,100,,,,
,,2,,,15,,,,,,
,,3,,,25,,,,,,
,,4,,,10,,,,,,
,,5,,,18,,,,,,
,,6,,,10,,,,,,
,,7,,,18,,,,,,
,,8,,,15,,,,,,
,,9,,,20,,,,,,
,,10,,,12,,,,,,
,,11,,,12,,,,,,
,,12,,,15,,,,,,
,,13,,,15,,,,,,
,,14,,,15,,,,,,
,,15,,,15,,,,,,
,,16,,,15,,,,,,
,,17,,,15,,,,,,
,,18,,,15,,,,,,
,,19,,,15,,,,,,
,,20,,,15,,,,,,
,,21,,,15,,,,,,
,,22,,,40,,,,,,
,,23,,,12,,,,,,
,,24,,,12,,,,,,
,,25,,,12,,,,,,
,,26,,,12,,,,,,
,,27,,,28,,,,,,
,,28,,,12,,,,,,
,,29,,,23,,,,,,
,,30,,,12,,,,,,
,,31,,,12,,,,,,
,2,1,,,12,,,,,,
,,2,,,12,,,,,,
,,3,,,15,,,,,,
,,4,,,12,,,,,,
,,5,,,12,,,,,,
,,6,,,12,,,,,,
,,7,,,12,,,,,,
,,8,,,12,,,,,,
,,9,,,12,,,,,,
,,10,,,140,,,,,,
,,11,,,12,,,,,,
,,12,,,15,,,,,,
,,13,,,,,90,,,,
,,14,,,0,,,,,,
,,15,,,,,,,,,
,,16,,,,,,,,,
,,17,,,,,,,,,
,,18,,,,,4,,,,
,,19,,,,,,,,,
,,20,,,,,,,,,
,,21,,,,,4,,,,
,,22,,,,,,,,,
,,23,,,,,,,,,
,,24,,,,,200,,,,
,,25,,,,,,,,,
,,26,,,,,80,,,,
,,27,,,,,,,,,
,,28,,,,,,,,,
,3,1,,,,,30,,,,
,,2,,,,,10,,,,
,,3,,,,,,,,,
,,4,,,,,,,,,
,,5,,,,,25,,,,
,,6,,,,,,,,,
,,7,,,,,25,,,,
,,8,,,,,,,,,
,,9,,,,,,,,,
,,10,,,,,,,,,
,,11,,,,,25,,,,
,,12,,,,,,,,,
,,13,,,,,25,,,,
,,14,,,,,,,,,
,,15,,,,,,,,,
,,16,,,,,,,,,
,,17,,,,,,,,,
,,18,,,,,,,,,
,,19,,,,,,,,,
,,20,,,,,25,,,,
,,21,,,,,,,,,
,,22,,,,,,,,,
,,23,,,,,,,,,
,,24,,,,,,,,,
,,25,,,,,,,,,
,,26,,,,,120,,,,
