Heure de début,Heure de fin,Calories (kcal),Distance (m),Fréquence cardiaque moyenne (bpm),Fréquence cardiaque maximale (bpm),Fréquence cardiaque minimale (bpm),Basse latitude (°),Basse longitude (°),Haute latitude (°),Haute longitude (°),Vitesse moyenne (m/s),Vitesse maximale (m/s),Vitesse minimale (m/s),Nombre de pas,Poids moyen (kg),Poids maximal (kg),Poids minimal (kg),"Durée de l'activité ""Vélo"" (ms)","Durée de l'activité ""Inactif"" (ms)","Durée de l'activité ""Marche à pied"" (ms)","Durée de l'activité ""Natation"" (ms)"
21:30:00.000-04:00,21:45:00.000-04:00,16.921874865045936,,,,,38.91135025024414,-120.00379943847656,38.91145706176758,-120.00366973876953,1.295310914516449,1.4618481397628784,1.159353256225586,,,,,,900000,,
21:45:00.000-04:00,22:00:00.000-04:00,16.921874865045936,,,,,38.91040802001953,-120.00401306152344,38.911338806152344,-120.00386047363281,0.7947613000869751,0.9492101669311523,0.6403124332427979,,,,,,900000,,
22:00:00.000-04:00,22:15:00.000-04:00,16.921874865045936,,,,,38.91086196899414,-120.00384521484375,38.911231994628906,-120.00381469726562,,,,57,,,,,900000,,
22:15:00.000-04:00,22:30:00.000-04:00,19.265292735073096,18.70846939086914,,,,38.91144943237305,-120.00407409667969,38.91175079345703,-120.00383758544922,0.8858890952454336,1.2478781938552856,0.47348833084106445,225,,,,,860488,39512,
22:30:00.000-04:00,22:45:00.000-04:00,16.921873941475518,,,,,38.91136932373047,-120.00399017333984,38.91140365600586,-120.00369262695312,,,,,,,,,900000,,
22:45:00.000-04:00,23:00:00.000-04:00,16.921873941475518,,,,,38.91132736206055,-120.00408935546875,38.91139602661133,-120.00377655029297,1.4018559455871582,1.4018559455871582,1.4018559455871582,,,,,,900000,,
23:00:00.000-04:00,23:15:00.000-04:00,16.921873941475518,,,,,38.9113883972168,-120.00414276123047,38.91146469116211,-120.0038070678711,0.6800000071525574,0.6800000071525574,0.6800000071525574,,,,,,900000,,
23:15:00.000-04:00,23:30:00.000-04:00,16.921873941475518,,,,,38.911354064941406,-120.00381469726562,38.911354064941406,-120.00381469726562,1.2264175415039062,1.2264175415039062,1.2264175415039062,,,,,,900000,,
23:30:00.000-04:00,23:45:00.000-04:00,16.921873941475518,,,,,38.91132736206055,-120.00385284423828,38.91142272949219,-120.00381469726562,0.9506186744691348,0.9848857522010803,0.9080197811126709,,,,,,900000,,
23:45:00.000-04:00,00:00:00.000-04:00,16.921873941475518,,,,,38.91142654418945,-120.00389862060547,38.91143798828125,-120.00379180908203,1.49197386118276,2.0640008449554443,0.9202173948287964,,,,,,900000,,
